mode,md_cal,ch,fre,bw,md_n,rate,p_len,target_power,of1,of2,of3
11ax MCS11 VHT80,4,42,5210,2,5,11,16000,14,2,1,0
11ax MCS11 VHT80,4,58,5290,2,5,11,16000,14,2,1,1
11ax MCS11 VHT80,4,106,5530,2,5,11,16000,14,2,1,2
11ax MCS11 VHT80,4,122,5610,2,5,11,16000,14,2,1,3
11ax MCS11 VHT80,4,138,5690,2,5,11,16000,14,2,1,4
11ax MCS11 VHT80,4,155,5775,2,5,11,16000,14,2,1,5
11ax MCS7 VHT80,4,42,5210,2,5,11,16000,18,2,2,0
11ax MCS7 VHT80,4,58,5290,2,5,11,16000,18,2,2,1
11ax MCS7 VHT80,4,106,5530,2,5,11,16000,18,2,2,2
11ax MCS7 VHT80,4,122,5610,2,5,11,16000,18,2,2,3
11ax MCS7 VHT80,4,138,5690,2,5,11,16000,18,2,2,4
11ax MCS7 VHT80,4,155,5775,2,5,11,16000,18,2,2,5
11ax MCS0 VHT80,4,42,5210,2,5,11,16000,19,2,0,0
11ax MCS0 VHT80,4,58,5290,2,5,11,16000,19,2,0,1
11ax MCS0 VHT80,4,106,5530,2,5,11,16000,19,2,0,2
11ax MCS0 VHT80,4,122,5610,2,5,11,16000,19,2,0,3
11ax MCS0 VHT80,4,138,5690,2,5,11,16000,19,2,0,4
11ax MCS0 VHT80,4,155,5775,2,5,11,16000,19,2,0,5
11ax MCS11 VHT40,1,1,2412,1,5,11,8192,15,1,1,0
11ax MCS11 VHT40,1,7,2442,1,5,11,8192,15,1,1,1
11ax MCS11 VHT40,1,13,2472,1,5,11,8192,15,1,1,2
11ax MCS0 VHT40,1,1,2412,1,5,0,8192,20,1,2,0
11ax MCS0 VHT40,1,7,2442,1,5,0,8192,20,1,2,1
11ax MCS0 VHT40,1,13,2472,1,5,0,8192,20,1,2,2
11b 11M,1,1,2412,0,0,3,1024,20,1,0,0
11b 11M,1,7,2442,0,0,3,1024,20,1,0,1
11b 11M,1,13,2472,0,0,3,1024,20,1,0,2
